Time [us],Protocol,Packet Length (Layer 3) [Byte]
28843545,TCP,46
28901480,IEC 60870-5 ASDU,292
28901481,IEC 60870-5 ASDU,252
29012115,IEC 60870-5 ASDU,292
29012116,IEC 60870-5 ASDU,252
29101833,IEC 60870-5 ASDU,292
29101833,IEC 60870-5 ASDU,252
29201898,IEC 60870-5 ASDU,292
29201899,IEC 60870-5 ASDU,252
29243899,TCP,46
29302194,IEC 60870-5 ASDU,292
29302194,IEC 60870-5 ASDU,252
29401826,IEC 60870-5 ASDU,292
29401827,IEC 60870-5 ASDU,252
29511755,IEC 60870-5 ASDU,292
29511756,IEC 60870-5 ASDU,252
29601868,IEC 60870-5 ASDU,292
29601869,IEC 60870-5 ASDU,252
29644138,TCP,46
29701848,IEC 60870-5 ASDU,292
29701849,IEC 60870-5 ASDU,252
29801440,IEC 60870-5 ASDU,292
29801441,IEC 60870-5 ASDU,252
29901674,IEC 60870-5 ASDU,292
29901675,IEC 60870-5 ASDU,252
30001888,IEC 60870-5 ASDU,292
30001888,IEC 60870-5 ASDU,252
30044053,TCP,46
30101793,IEC 60870-5 ASDU,292
30101794,IEC 60870-5 ASDU,252
30201777,IEC 60870-5 ASDU,292
30201778,IEC 60870-5 ASDU,252
30311831,IEC 60870-5 ASDU,292
30311832,IEC 60870-5 ASDU,252
30401297,IEC 60870-5 ASDU,292
30401415,IEC 60870-5 ASDU,252
30453547,TCP,46
30501899,IEC 60870-5 ASDU,292
30501900,IEC 60870-5 ASDU,252
29201954,IEC 60870-5 ASDU,292
29201954,IEC 60870-5 ASDU,252
30711925,IEC 60870-5 ASDU,292
30711925,IEC 60870-5 ASDU,252
30802326,IEC 60870-5 ASDU,292
30802327,IEC 60870-5 ASDU,252
30843909,TCP,46
30901762,IEC 60870-5 ASDU,292
30901763,IEC 60870-5 ASDU,252
31001639,IEC 60870-5 ASDU,292
31001641,IEC 60870-5 ASDU,252
31111427,IEC 60870-5 ASDU,292
31111427,IEC 60870-5 ASDU,252
31201580,IEC 60870-5 ASDU,292
31201581,IEC 60870-5 ASDU,252
31243838,TCP,46
31301646,IEC 60870-5 ASDU,292
31301647,IEC 60870-5 ASDU,252
31401551,IEC 60870-5 ASDU,292
31401552,IEC 60870-5 ASDU,252
31511874,IEC 60870-5 ASDU,292
31511875,IEC 60870-5 ASDU,252
31601854,IEC 60870-5 ASDU,292
31601854,IEC 60870-5 ASDU,252
31633466,TCP,46
31701799,IEC 60870-5 ASDU,292
31701800,IEC 60870-5 ASDU,252
31801735,IEC 60870-5 ASDU,292
31801737,IEC 60870-5 ASDU,252
31911847,IEC 60870-5 ASDU,292
31911847,IEC 60870-5 ASDU,252
32001197,IEC 60870-5 ASDU,292
32001214,IEC 60870-5 ASDU,252
32043545,TCP,46
32101717,IEC 60870-5 ASDU,292
32101717,IEC 60870-5 ASDU,252
32201695,IEC 60870-5 ASDU,292
32201696,IEC 60870-5 ASDU,252
32302016,IEC 60870-5 ASDU,292
32302016,IEC 60870-5 ASDU,252
32401731,IEC 60870-5 ASDU,292
32401732,IEC 60870-5 ASDU,252
32443505,TCP,46
32501620,IEC 60870-5 ASDU,292
32501621,IEC 60870-5 ASDU,252
32601698,IEC 60870-5 ASDU,292
32601698,IEC 60870-5 ASDU,252
32711880,IEC 60870-5 ASDU,292
32711881,IEC 60870-5 ASDU,252
32801616,IEC 60870-5 ASDU,292
32801617,IEC 60870-5 ASDU,252
32843223,TCP,46
32901719,IEC 60870-5 ASDU,292
32901719,IEC 60870-5 ASDU,252
33001256,IEC 60870-5 ASDU,292
33001256,IEC 60870-5 ASDU,252
33101733,IEC 60870-5 ASDU,292
33101735,IEC 60870-5 ASDU,252
33201554,IEC 60870-5 ASDU,292
33201556,IEC 60870-5 ASDU,252
33243286,TCP,46
33301472,IEC 60870-5 ASDU,292
33301473,IEC 60870-5 ASDU,252
33401542,IEC 60870-5 ASDU,292
33401543,IEC 60870-5 ASDU,252
33501646,IEC 60870-5 ASDU,292
33501646,IEC 60870-5 ASDU,252
33601444,IEC 60870-5 ASDU,292
33601445,IEC 60870-5 ASDU,252
33642920,TCP,46
33700914,IEC 60870-5 ASDU,292
33700916,IEC 60870-5 ASDU,252
33801526,IEC 60870-5 ASDU,292
33801526,IEC 60870-5 ASDU,252
33901651,IEC 60870-5 ASDU,292
33901651,IEC 60870-5 ASDU,252
34000932,IEC 60870-5 ASDU,292
34000933,IEC 60870-5 ASDU,252
34043601,TCP,46
34101398,IEC 60870-5 ASDU,292
34101399,IEC 60870-5 ASDU,252
34201313,IEC 60870-5 ASDU,292
34201315,IEC 60870-5 ASDU,252
34301278,IEC 60870-5 ASDU,292
34301279,IEC 60870-5 ASDU,252
34401135,IEC 60870-5 ASDU,292
34401136,IEC 60870-5 ASDU,252
34443014,TCP,46
34501319,IEC 60870-5 ASDU,292
34501321,IEC 60870-5 ASDU,252
34600885,IEC 60870-5 ASDU,292
34600885,IEC 60870-5 ASDU,252
34701278,IEC 60870-5 ASDU,292
34701279,IEC 60870-5 ASDU,252
34801505,IEC 60870-5 ASDU,292
34801505,IEC 60870-5 ASDU,252
34852908,TCP,46
34901605,IEC 60870-5 ASDU,292
34901606,IEC 60870-5 ASDU,252
35000827,IEC 60870-5 ASDU,292
35000828,IEC 60870-5 ASDU,252
35101122,IEC 60870-5 ASDU,292
35101123,IEC 60870-5 ASDU,252
35201390,IEC 60870-5 ASDU,292
35201391,IEC 60870-5 ASDU,252
35292769,TCP,46
35301434,IEC 60870-5 ASDU,292
35301435,IEC 60870-5 ASDU,252
35401176,IEC 60870-5 ASDU,292
35401176,IEC 60870-5 ASDU,252
35500913,IEC 60870-5 ASDU,292
35500914,IEC 60870-5 ASDU,252
35601350,IEC 60870-5 ASDU,292
35601351,IEC 60870-5 ASDU,252
35642874,TCP,46
35701361,IEC 60870-5 ASDU,292
35701362,IEC 60870-5 ASDU,252
35801351,IEC 60870-5 ASDU,292
35801352,IEC 60870-5 ASDU,252
35900787,IEC 60870-5 ASDU,292
35900788,IEC 60870-5 ASDU,252
36010989,IEC 60870-5 ASDU,292
36010989,IEC 60870-5 ASDU,252
36042887,TCP,46
36101249,IEC 60870-5 ASDU,292
36101249,IEC 60870-5 ASDU,252
36200799,IEC 60870-5 ASDU,292
36200800,IEC 60870-5 ASDU,252
36301150,IEC 60870-5 ASDU,292
36301150,IEC 60870-5 ASDU,252
36411413,IEC 60870-5 ASDU,292
36411415,IEC 60870-5 ASDU,252
36443118,TCP,46
36500691,IEC 60870-5 ASDU,292
36500691,IEC 60870-5 ASDU,252
36600999,IEC 60870-5 ASDU,292
36600999,IEC 60870-5 ASDU,252
36700689,IEC 60870-5 ASDU,292
36700690,IEC 60870-5 ASDU,252
36801688,IEC 60870-5 ASDU,292
36801688,IEC 60870-5 ASDU,252
36842762,TCP,46
36900693,IEC 60870-5 ASDU,292
36900695,IEC 60870-5 ASDU,252
37000812,IEC 60870-5 ASDU,292
37000812,IEC 60870-5 ASDU,252
37100864,IEC 60870-5 ASDU,292
37100864,IEC 60870-5 ASDU,252
37200662,IEC 60870-5 ASDU,292
37200662,IEC 60870-5 ASDU,252
37242749,TCP,46
37300722,IEC 60870-5 ASDU,292
37300723,IEC 60870-5 ASDU,252
37400682,IEC 60870-5 ASDU,292
37400682,IEC 60870-5 ASDU,252
37501058,IEC 60870-5 ASDU,292
37501059,IEC 60870-5 ASDU,252
37601050,IEC 60870-5 ASDU,292
37601051,IEC 60870-5 ASDU,252
37642721,TCP,46
37700827,IEC 60870-5 ASDU,292
37700827,IEC 60870-5 ASDU,252
37801039,IEC 60870-5 ASDU,292
37801039,IEC 60870-5 ASDU,252
37901011,IEC 60870-5 ASDU,292
37901012,IEC 60870-5 ASDU,252
38000966,IEC 60870-5 ASDU,292
38000967,IEC 60870-5 ASDU,252
38024703,TCP,46
38100570,IEC 60870-5 ASDU,292
38100570,IEC 60870-5 ASDU,252
38200523,IEC 60870-5 ASDU,292
38200524,IEC 60870-5 ASDU,252
38300822,IEC 60870-5 ASDU,292
38300823,IEC 60870-5 ASDU,252
38358946,TCP,46
38366565,IEC 60870-5-104,46
38400895,IEC 60870-5 ASDU,292
38400896,IEC 60870-5 ASDU,252
38492522,TCP,46
38500948,IEC 60870-5 ASDU,292
38500948,IEC 60870-5 ASDU,252
38600833,IEC 60870-5 ASDU,292
38600835,IEC 60870-5 ASDU,252
38700501,IEC 60870-5 ASDU,292
38700501,IEC 60870-5 ASDU,252
38800814,IEC 60870-5 ASDU,292
38800815,IEC 60870-5 ASDU,252
38842553,TCP,46
38900639,IEC 60870-5 ASDU,292
38900639,IEC 60870-5 ASDU,252
39000814,IEC 60870-5 ASDU,292
39000815,IEC 60870-5 ASDU,252
39100738,IEC 60870-5 ASDU,292
39100740,IEC 60870-5 ASDU,252
39200683,IEC 60870-5 ASDU,292
39200684,IEC 60870-5 ASDU,252
39272774,TCP,46
39300399,IEC 60870-5 ASDU,292
39300400,IEC 60870-5 ASDU,252
39400732,IEC 60870-5 ASDU,292
39400733,IEC 60870-5 ASDU,252
39500720,IEC 60870-5 ASDU,292
39500721,IEC 60870-5 ASDU,252
39600679,IEC 60870-5 ASDU,292
39600682,IEC 60870-5 ASDU,252
39632923,TCP,46
39700402,IEC 60870-5 ASDU,292
39700402,IEC 60870-5 ASDU,252
39800978,IEC 60870-5 ASDU,292
39800980,IEC 60870-5 ASDU,252
39900514,IEC 60870-5 ASDU,292
39900515,IEC 60870-5 ASDU,252
40000715,IEC 60870-5 ASDU,292
40000716,IEC 60870-5 ASDU,252
40042733,TCP,46
40100708,IEC 60870-5 ASDU,292
40100710,IEC 60870-5 ASDU,252
40200682,IEC 60870-5 ASDU,292
40200683,IEC 60870-5 ASDU,252
40300252,IEC 60870-5 ASDU,292
40300267,IEC 60870-5 ASDU,252
40400840,IEC 60870-5 ASDU,292
40400841,IEC 60870-5 ASDU,252
40422594,TCP,46
40500435,IEC 60870-5 ASDU,292
40500435,IEC 60870-5 ASDU,252
40610867,IEC 60870-5 ASDU,292
40610868,IEC 60870-5 ASDU,252
40700482,IEC 60870-5 ASDU,292
40700483,IEC 60870-5 ASDU,252
40800217,IEC 60870-5 ASDU,292
40800217,IEC 60870-5 ASDU,252
40852092,TCP,46
40900695,IEC 60870-5 ASDU,292
40900695,IEC 60870-5 ASDU,252
41000710,IEC 60870-5 ASDU,292
41000710,IEC 60870-5 ASDU,252
41100488,IEC 60870-5 ASDU,292
41100489,IEC 60870-5 ASDU,252
41200638,IEC 60870-5 ASDU,292
41200639,IEC 60870-5 ASDU,252
41300238,IEC 60870-5 ASDU,292
41300240,IEC 60870-5 ASDU,252
41410764,IEC 60870-5 ASDU,292
41410764,IEC 60870-5 ASDU,252
41500563,IEC 60870-5 ASDU,292
41500563,IEC 60870-5 ASDU,252
41600692,IEC 60870-5 ASDU,292
41600692,IEC 60870-5 ASDU,252
41692259,TCP,46
41700339,IEC 60870-5 ASDU,292
41700339,IEC 60870-5 ASDU,252
41810996,IEC 60870-5 ASDU,292
41810997,IEC 60870-5 ASDU,252
41900229,IEC 60870-5 ASDU,292
41900230,IEC 60870-5 ASDU,252
42000189,IEC 60870-5 ASDU,292
42000189,IEC 60870-5 ASDU,252
42062597,TCP,46
42100780,IEC 60870-5 ASDU,292
42100781,IEC 60870-5 ASDU,252
42210935,IEC 60870-5 ASDU,292
42210936,IEC 60870-5 ASDU,252
42300173,IEC 60870-5 ASDU,292
42300174,IEC 60870-5 ASDU,252
42400507,IEC 60870-5 ASDU,292
42400508,IEC 60870-5 ASDU,252
42482340,TCP,46
42491022,IEC 60870-5 ASDU,292
42491023,IEC 60870-5 ASDU,252
42600802,IEC 60870-5 ASDU,292
42600803,IEC 60870-5 ASDU,252
42700517,IEC 60870-5 ASDU,292
42700519,IEC 60870-5 ASDU,252
42800657,IEC 60870-5 ASDU,292
42800658,IEC 60870-5 ASDU,252
42842496,TCP,46
42900684,IEC 60870-5 ASDU,292
42900685,IEC 60870-5 ASDU,252
43000664,IEC 60870-5 ASDU,292
43000665,IEC 60870-5 ASDU,252
43100732,IEC 60870-5 ASDU,292
43100734,IEC 60870-5 ASDU,252
43200341,IEC 60870-5 ASDU,292
43200341,IEC 60870-5 ASDU,252
43242606,TCP,46
43300053,IEC 60870-5 ASDU,292
43300054,IEC 60870-5 ASDU,252
43400608,IEC 60870-5 ASDU,292
43400608,IEC 60870-5 ASDU,252
43500422,IEC 60870-5 ASDU,292
43500423,IEC 60870-5 ASDU,252
43600529,IEC 60870-5 ASDU,292
43600530,IEC 60870-5 ASDU,252
43642524,TCP,46
43700085,IEC 60870-5 ASDU,292
43700085,IEC 60870-5 ASDU,252
43800011,IEC 60870-5 ASDU,292
43800012,IEC 60870-5 ASDU,252
43890326,IEC 60870-5 ASDU,292
43890327,IEC 60870-5 ASDU,252
44000526,IEC 60870-5 ASDU,292
44000527,IEC 60870-5 ASDU,252
44042520,TCP,46
44100441,IEC 60870-5 ASDU,292
44100442,IEC 60870-5 ASDU,252
44200555,IEC 60870-5 ASDU,292
44200556,IEC 60870-5 ASDU,252
44300327,IEC 60870-5 ASDU,292
44300328,IEC 60870-5 ASDU,252
44400439,IEC 60870-5 ASDU,292
44400439,IEC 60870-5 ASDU,252
44442460,TCP,46
44500488,IEC 60870-5 ASDU,292
44500488,IEC 60870-5 ASDU,252
44600430,IEC 60870-5 ASDU,292
44600430,IEC 60870-5 ASDU,252
44700377,IEC 60870-5 ASDU,292
44700377,IEC 60870-5 ASDU,252
44800519,IEC 60870-5 ASDU,292
44800520,IEC 60870-5 ASDU,252
44842621,TCP,46
44900573,IEC 60870-5 ASDU,292
44900574,IEC 60870-5 ASDU,252
44999892,IEC 60870-5 ASDU,292
44999893,IEC 60870-5 ASDU,252
45100406,IEC 60870-5 ASDU,292
45100408,IEC 60870-5 ASDU,252
45200380,IEC 60870-5 ASDU,292
45200381,IEC 60870-5 ASDU,252
45242579,TCP,46
45310562,IEC 60870-5 ASDU,292
45310562,IEC 60870-5 ASDU,252
45400248,IEC 60870-5 ASDU,292
45400249,IEC 60870-5 ASDU,252
45500433,IEC 60870-5 ASDU,292
45500435,IEC 60870-5 ASDU,252
45600484,IEC 60870-5 ASDU,292
45600485,IEC 60870-5 ASDU,252
45642527,TCP,46
45710361,IEC 60870-5 ASDU,292
45710361,IEC 60870-5 ASDU,252
45800101,IEC 60870-5 ASDU,292
45800102,IEC 60870-5 ASDU,252
45900150,IEC 60870-5 ASDU,292
45900152,IEC 60870-5 ASDU,252
46000349,IEC 60870-5 ASDU,292
46000350,IEC 60870-5 ASDU,252
46042401,TCP,46
46100292,IEC 60870-5 ASDU,292
46100307,IEC 60870-5 ASDU,252
46200211,IEC 60870-5 ASDU,292
46200211,IEC 60870-5 ASDU,252
46300254,IEC 60870-5 ASDU,292
46300255,IEC 60870-5 ASDU,252
46400115,IEC 60870-5 ASDU,292
46400117,IEC 60870-5 ASDU,252
46442432,TCP,46
46510568,IEC 60870-5 ASDU,292
46510569,IEC 60870-5 ASDU,252
46600278,IEC 60870-5 ASDU,292
46600278,IEC 60870-5 ASDU,252
46700347,IEC 60870-5 ASDU,292
46700349,IEC 60870-5 ASDU,252
46800106,IEC 60870-5 ASDU,292
46800106,IEC 60870-5 ASDU,252
46822155,TCP,46
46910333,IEC 60870-5 ASDU,292
46910333,IEC 60870-5 ASDU,252
46999660,IEC 60870-5 ASDU,292
46999699,IEC 60870-5 ASDU,252
47100009,IEC 60870-5 ASDU,292
47100024,IEC 60870-5 ASDU,252
47200165,IEC 60870-5 ASDU,292
47200166,IEC 60870-5 ASDU,252
47241821,TCP,46
47299984,IEC 60870-5 ASDU,292
47299984,IEC 60870-5 ASDU,252
47400208,IEC 60870-5 ASDU,292
47400208,IEC 60870-5 ASDU,252
47500147,IEC 60870-5 ASDU,292
47500148,IEC 60870-5 ASDU,252
47599653,IEC 60870-5 ASDU,292
47599653,IEC 60870-5 ASDU,252
47642160,TCP,46
47700173,IEC 60870-5 ASDU,292
47700173,IEC 60870-5 ASDU,252
47799980,IEC 60870-5 ASDU,292
47799981,IEC 60870-5 ASDU,252
47899972,IEC 60870-5 ASDU,292
47899973,IEC 60870-5 ASDU,252
48000103,IEC 60870-5 ASDU,292
48000103,IEC 60870-5 ASDU,252
48042162,TCP,46
48100016,IEC 60870-5 ASDU,292
48100018,IEC 60870-5 ASDU,252
48199733,IEC 60870-5 ASDU,292
48199734,IEC 60870-5 ASDU,252
48300046,IEC 60870-5 ASDU,292
48300046,IEC 60870-5 ASDU,252
48400001,IEC 60870-5 ASDU,292
48400002,IEC 60870-5 ASDU,252
48421940,TCP,46
48500032,IEC 60870-5 ASDU,292
48500033,IEC 60870-5 ASDU,252
48599528,IEC 60870-5 ASDU,292
48599529,IEC 60870-5 ASDU,252
48700026,IEC 60870-5 ASDU,292
48700027,IEC 60870-5 ASDU,252
48799820,IEC 60870-5 ASDU,292
48799821,IEC 60870-5 ASDU,252
48842174,TCP,46
48899991,IEC 60870-5 ASDU,292
48899992,IEC 60870-5 ASDU,252
48999958,IEC 60870-5 ASDU,292
48999958,IEC 60870-5 ASDU,252
49099873,IEC 60870-5 ASDU,292
49099874,IEC 60870-5 ASDU,252
49199499,IEC 60870-5 ASDU,292
49199499,IEC 60870-5 ASDU,252
49241548,TCP,46
49299403,IEC 60870-5 ASDU,292
49299489,IEC 60870-5 ASDU,252
49400041,IEC 60870-5 ASDU,292
49400042,IEC 60870-5 ASDU,252
49500162,IEC 60870-5 ASDU,292
49500163,IEC 60870-5 ASDU,252
49599472,IEC 60870-5 ASDU,292
49599473,IEC 60870-5 ASDU,252
49641896,TCP,46
49700023,IEC 60870-5 ASDU,292
49700025,IEC 60870-5 ASDU,252
49799451,IEC 60870-5 ASDU,292
49799451,IEC 60870-5 ASDU,252
49900113,IEC 60870-5 ASDU,292
49900114,IEC 60870-5 ASDU,252
49999804,IEC 60870-5 ASDU,292
49999805,IEC 60870-5 ASDU,252
50041845,TCP,46
50099371,IEC 60870-5 ASDU,292
50099372,IEC 60870-5 ASDU,252
50200103,IEC 60870-5 ASDU,292
50200104,IEC 60870-5 ASDU,252
50299714,IEC 60870-5 ASDU,292
50299715,IEC 60870-5 ASDU,252
50399386,IEC 60870-5 ASDU,292
50399387,IEC 60870-5 ASDU,252
50441834,TCP,46
50499942,IEC 60870-5 ASDU,292
50499942,IEC 60870-5 ASDU,252
50609566,IEC 60870-5 ASDU,292
50609567,IEC 60870-5 ASDU,252
50700000,IEC 60870-5 ASDU,292
50700000,IEC 60870-5 ASDU,252
50799686,IEC 60870-5 ASDU,292
50799687,IEC 60870-5 ASDU,252
50841786,TCP,46
50900003,IEC 60870-5 ASDU,292
50900004,IEC 60870-5 ASDU,252
51009461,IEC 60870-5 ASDU,292
51009461,IEC 60870-5 ASDU,252
51100063,IEC 60870-5 ASDU,292
51100063,IEC 60870-5 ASDU,252
51199820,IEC 60870-5 ASDU,292
51199821,IEC 60870-5 ASDU,252
51241783,TCP,46
51299973,IEC 60870-5 ASDU,292
51299973,IEC 60870-5 ASDU,252
51399795,IEC 60870-5 ASDU,292
51399797,IEC 60870-5 ASDU,252
51499574,IEC 60870-5 ASDU,292
51499575,IEC 60870-5 ASDU,252
51599386,IEC 60870-5 ASDU,292
51599387,IEC 60870-5 ASDU,252
51641269,TCP,46
51699789,IEC 60870-5 ASDU,292
51699790,IEC 60870-5 ASDU,252
51810017,IEC 60870-5 ASDU,292
51810018,IEC 60870-5 ASDU,252
51899482,IEC 60870-5 ASDU,292
51899482,IEC 60870-5 ASDU,252
51999377,IEC 60870-5 ASDU,292
51999378,IEC 60870-5 ASDU,252
52041891,TCP,46
52099856,IEC 60870-5 ASDU,292
52099857,IEC 60870-5 ASDU,252
52209740,IEC 60870-5 ASDU,292
52209741,IEC 60870-5 ASDU,252
52299326,IEC 60870-5 ASDU,292
52299326,IEC 60870-5 ASDU,252
52399171,IEC 60870-5 ASDU,292
52399171,IEC 60870-5 ASDU,252
52441833,TCP,46
52499541,IEC 60870-5 ASDU,292
52499541,IEC 60870-5 ASDU,252
52599786,IEC 60870-5 ASDU,292
52599787,IEC 60870-5 ASDU,252
52699705,IEC 60870-5 ASDU,292
52699706,IEC 60870-5 ASDU,252
52799497,IEC 60870-5 ASDU,292
52799498,IEC 60870-5 ASDU,252
52841561,TCP,46
52899616,IEC 60870-5 ASDU,292
52899616,IEC 60870-5 ASDU,252
52999514,IEC 60870-5 ASDU,292
52999515,IEC 60870-5 ASDU,252
53109836,IEC 60870-5 ASDU,292
53109837,IEC 60870-5 ASDU,252
53199049,IEC 60870-5 ASDU,292
53199050,IEC 60870-5 ASDU,252
53241588,TCP,46
53299552,IEC 60870-5 ASDU,292
53299553,IEC 60870-5 ASDU,252
53399750,IEC 60870-5 ASDU,292
53399751,IEC 60870-5 ASDU,252
53499662,IEC 60870-5 ASDU,292
53499664,IEC 60870-5 ASDU,252
53599665,IEC 60870-5 ASDU,292
53599665,IEC 60870-5 ASDU,252
53641706,TCP,46
53699478,IEC 60870-5 ASDU,292
53699479,IEC 60870-5 ASDU,252
53802114,IEC 60870-5 ASDU,292
53802115,IEC 60870-5 ASDU,252
53899474,IEC 60870-5 ASDU,292
53899476,IEC 60870-5 ASDU,252
53999385,IEC 60870-5 ASDU,292
53999386,IEC 60870-5 ASDU,252
54041046,TCP,46
54099556,IEC 60870-5 ASDU,292
54099557,IEC 60870-5 ASDU,252
54199368,IEC 60870-5 ASDU,292
54199369,IEC 60870-5 ASDU,252
54299184,IEC 60870-5 ASDU,292
54299184,IEC 60870-5 ASDU,252
54399313,IEC 60870-5 ASDU,292
54399314,IEC 60870-5 ASDU,252
54441551,TCP,46
54498927,IEC 60870-5 ASDU,292
54498928,IEC 60870-5 ASDU,252
54599341,IEC 60870-5 ASDU,292
54599343,IEC 60870-5 ASDU,252
54699473,IEC 60870-5 ASDU,292
54699473,IEC 60870-5 ASDU,252
54799225,IEC 60870-5 ASDU,292
54799226,IEC 60870-5 ASDU,252
54850902,TCP,46
54899038,IEC 60870-5 ASDU,292
54899038,IEC 60870-5 ASDU,252
54999361,IEC 60870-5 ASDU,292
54999362,IEC 60870-5 ASDU,252
55099294,IEC 60870-5 ASDU,292
55099295,IEC 60870-5 ASDU,252
55199531,IEC 60870-5 ASDU,292
55199532,IEC 60870-5 ASDU,252
55241553,TCP,46
55298895,IEC 60870-5 ASDU,292
55298896,IEC 60870-5 ASDU,252
55398925,IEC 60870-5 ASDU,292
55398926,IEC 60870-5 ASDU,252
55499580,IEC 60870-5 ASDU,292
55499581,IEC 60870-5 ASDU,252
55599674,IEC 60870-5 ASDU,292
55599675,IEC 60870-5 ASDU,252
55641292,TCP,46
55698870,IEC 60870-5 ASDU,292
55698871,IEC 60870-5 ASDU,252
55799440,IEC 60870-5 ASDU,292
55799440,IEC 60870-5 ASDU,252
55909058,IEC 60870-5 ASDU,292
55909059,IEC 60870-5 ASDU,252
55999492,IEC 60870-5 ASDU,292
55999493,IEC 60870-5 ASDU,252
56041531,TCP,46
56099184,IEC 60870-5 ASDU,292
56099184,IEC 60870-5 ASDU,252
56199470,IEC 60870-5 ASDU,292
56199471,IEC 60870-5 ASDU,252
56308979,IEC 60870-5 ASDU,292
56308980,IEC 60870-5 ASDU,252
56398766,IEC 60870-5 ASDU,292
56398767,IEC 60870-5 ASDU,252
56441380,TCP,46
56499514,IEC 60870-5 ASDU,292
56499515,IEC 60870-5 ASDU,252
56599235,IEC 60870-5 ASDU,292
56599236,IEC 60870-5 ASDU,252
56699452,IEC 60870-5 ASDU,292
56699452,IEC 60870-5 ASDU,252
56798768,IEC 60870-5 ASDU,292
56798768,IEC 60870-5 ASDU,252
56841453,TCP,46
56898802,IEC 60870-5 ASDU,292
56898803,IEC 60870-5 ASDU,252
56998817,IEC 60870-5 ASDU,292
56998818,IEC 60870-5 ASDU,252
57098595,IEC 60870-5 ASDU,292
57098596,IEC 60870-5 ASDU,252
57199181,IEC 60870-5 ASDU,292
57199181,IEC 60870-5 ASDU,252
57241229,TCP,46
57298638,IEC 60870-5 ASDU,292
